neighborhood,area_weighted_pop,pluto_weighted_pop,difference
Bedford-Stuyvesant,182881.07114603944,168572.0990777538,-14308.972068285628
Jackson Heights,93945.4877414388,70887.90092224618,-23057.586819192627
